out_units,lr,optimizer,p_dropout,epochs,use_early_stopping,activation_function,batch_size,momentum,l2_reg,outer_fold,inner_fold,inner_train_loss,inner_eval_loss
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,3,0.027,0.041
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,3,0.062,0.058
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,3,0.027,0.045
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,3,0.06,0.057
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,3,0.022,0.051
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,3,0.061,0.058
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,3,0.019,0.043
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,3,0.059,0.058
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,3,0.019,0.042
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,3,0.06,0.058
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,3,0.015,0.049
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,3,0.059,0.058
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,3,0.013,0.05
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,3,0.06,0.057
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,3,0.014,0.038
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,3,0.061,0.058
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,3,0.013,0.042
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,3,0.059,0.057
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,3,0.01,0.048
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,3,0.06,0.057
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,3,0.008,0.054
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,3,0.058,0.058
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,3,0.011,0.044
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,3,0.057,0.056
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,3,0.012,0.04
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,3,0.058,0.056
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,3,0.007,0.05
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,3,0.058,0.058
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,3,0.007,0.052
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,3,0.058,0.056
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,4,0.024,0.046
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,4,0.059,0.062
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,4,0.024,0.045
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,4,0.058,0.063
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,4,0.025,0.053
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,4,0.064,0.065
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,4,0.022,0.053
